forum,title,abstract,keywords,authors,pdf,conference,year,venue,original_file,gpt_relevant,gpt_confidence,gpt_relevance_score,gpt_reasoning,gpt_key_aspects
https://openreview.net/forum?id=zAdUB0aCTQ,AgentBench: Evaluating LLMs as Agents,"{'value': ""The potential of Large Language Model (LLM) as agents has been widely acknowledged recently.\nThus, there is an urgent need to quantitatively evaluate LLMs as agents on challenging tasks in interactive environments.\nWe present AgentBench, a multi-dimensional benchmark that consists of 8 distinct environments to assess LLM-as-Agent's reasoning and decision-making abilities.\nOur extensive test over 29 API-based and open-sourced (OSS) LLMs shows that, while top commercial LLMs present a strong ability of acting as agents in complex environments, there is a significant disparity in performance between them and many OSS competitors that are no larger than 70B.\nWe identify the typical reasons of failures in environments and LLMs, showing that poor long-term reasoning, decision-making, and instruction following abilities are the main obstacles for developing usable LLM agents.\nImproving instruction following and training on high quality multi-round alignment data could improve agent performance.\nAnd different from existing assumptions, training on code present ambivalent impacts on different agent tasks.\nDatasets, environments, and an integrated evaluation package for AgentBench are released at https://github.com/THUDM/AgentBench.""}","['Large language models', 'Autonomous agents', 'Reasoning', 'Evaluation', 'Benchmark']",,https://openreview.net{'value': '/pdf/6eee0bd1fd98c135372baedb2a5644233a013bb2.pdf'},ICLR,2024,ICLR.cc,data/ICLR/2024/papers.csv,False,0.8,4,"While the paper discusses agents, specifically Large Language Models (LLMs) acting as agents, it does not focus on data synthesis or synthetic data generation techniques. The evaluation of LLMs in interactive environments does not align with the survey's emphasis on agent learning methods that utilize synthetic data for training or performance improvement.","Large Language Models, Autonomous agents, Evaluation, Benchmark"
https://openreview.net/forum?id=z6KS9D1dxt,Byzantine Robust Cooperative Multi-Agent Reinforcement Learning as a Bayesian Game,"In this study, we explore the robustness of cooperative multi-agent reinforcement learning (c-MARL) against Byzantine failures, where any agent can enact arbitrary, worst-case actions due to malfunction or adversarial attack. To address the uncertainty that any agent can be adversarial, we propose a Bayesian Adversarial Robust Dec-POMDP (BARDec-POMDP) framework, which views Byzantine adversaries as nature-dictated types, represented by a separate transition. This allows agents to learn policies grounded on their posterior beliefs about the type of other agents, fostering collaboration with identified allies and minimizing vulnerability to adversarial manipulation. We define the optimal solution to the BARDec-POMDP as an ex interim robust Markov perfect Bayesian equilibrium, which we proof to exist and the corresponding policy weakly dominates previous approaches as time goes to infinity. To realize this equilibrium, we put forward a two-timescale actor-critic algorithm with almost sure convergence under specific conditions. Experiments on matrix game, Level-based Foraging and StarCraft II indicate that, our method successfully acquires intricate micromanagement skills and adaptively aligns with allies under worst-case perturbations, showing resilience against non-oblivious adversaries, random allies, observation-based attacks, and transfer-based attacks.","['Multi-agent reinforcement learning', 'Robustness', 'Game Theory', 'Adversarial Attack']",,https://openreview.net{'value': '/pdf/ae82041a50b5244c3cc55d71579b529584e36982.pdf'},ICLR,2024,ICLR.cc,data/ICLR/2024/papers.csv,False,0.8,4,"While the paper discusses multi-agent reinforcement learning and addresses robustness against adversarial actions, it does not focus on data synthesis, synthetic data generation, or simulated data. The primary emphasis is on the robustness of agents in adversarial settings rather than on utilizing synthetic data for training or improving agent performance.","Multi-agent reinforcement learning, Robustness, Adversarial Attack"
https://openreview.net/forum?id=yoVq2BGQdP,Achieving Fairness in Multi-Agent MDP Using Reinforcement Learning,"{'value': ""Fairness plays a crucial role in various multi-agent systems (e.g., communication networks, financial markets, etc.). Many multi-agent dynamical interactions can be cast as Markov Decision Processes (MDPs). While existing research has focused on studying fairness in known environments, the exploration of fairness in such systems for unknown environments remains open. In this paper, we propose a  Reinforcement Learning (RL) approach to achieve fairness in multi-agent finite-horizon episodic MDPs. Instead of maximizing the sum of individual agents' value functions, we introduce a fairness function that ensures equitable rewards across agents. Since the classical Bellman's equation does not hold when the sum of individual value functions is not maximized, we cannot use traditional approaches. Instead, in order to explore, we maintain a confidence bound of the unknown environment and then propose an online convex optimization based approach to obtain a policy constrained to this confidence region. We show that such an approach achieves sub-linear regret in terms of the number of episodes. Additionally, we provide a probably approximately correct (PAC) guarantee based on the obtained regret bound. We also propose an offline RL algorithm and bound the optimality gap with respect to the optimal fair solution. To mitigate computational complexity, we introduce a policy-gradient type method for the fair objective. Simulation experiments also demonstrate the efficacy of our approach.""}","['Fairness', 'Multi-Agent Reinforcement Learning', 'Markov Decision Process']",,https://openreview.net{'value': '/pdf/832d7ea57a154b15de9382f6f8db49dad34bc05e.pdf'},ICLR,2024,ICLR.cc,data/ICLR/2024/papers.csv,False,0.8,4,"While the paper discusses multi-agent reinforcement learning and proposes methods for achieving fairness in such systems, it does not explicitly involve data synthesis, synthetic data generation, or simulated data. The focus is primarily on fairness in unknown environments rather than on the use of synthetic data for training agents.","Multi-Agent Reinforcement Learning, Fairness, Markov Decision Process"
https://openreview.net/forum?id=wFWuX1Fhtj,On the Hardness of Constrained Cooperative Multi-Agent Reinforcement Learning,"Constrained cooperative multi-agent reinforcement learning (MARL) is an emerging learning framework that has been widely applied to manage multi-agent systems, and many primal-dual type algorithms have been developed for it. However, the convergence of primal-dual algorithms crucially relies on strong duality -- a condition that has not been formally proved in constrained cooperative MARL. In this work, we prove that strong duality fails to hold in constrained cooperative MARL, by revealing a nonconvex quadratic type constraint on the occupation measure induced by the product policy. Consequently, our reanalysis of the primal-dual algorithm shows that its convergence rate is hindered by the nonzero duality gap. Then, we propose a decentralized primal approach for constrained cooperative MARL to avoid the duality gap, and our analysis shows that its convergence is hindered by another gap induced by the advantage functions. Moreover, we compare these two types of algorithms via concrete examples, and show that neither of them always outperforms the other one. Our study reveals that constrained cooperative MARL is generally a challenging and highly nonconvex problem, and its fundamental structure is very different from that of single-agent constrained RL.","['Multi-Agent Reinforcement Learning', 'Constrained reinforcement learning', 'Primal-Dual', 'Duality gap', 'Primal algorithm']",,https://openreview.net{'value': '/pdf/fbb1a9eec51b42b14f0f37676f9db8b154cbc9d2.pdf'},ICLR,2024,ICLR.cc,data/ICLR/2024/papers.csv,False,0.8,3,"While the paper discusses multi-agent reinforcement learning (MARL), it does not address data synthesis, synthetic data generation, or simulated data. The focus is on the theoretical aspects of constrained cooperative MARL and the convergence of algorithms, which does not align with the survey's emphasis on data synthesis techniques.","Multi-Agent Reinforcement Learning, Constrained reinforcement learning, Primal-Dual algorithms"
https://openreview.net/forum?id=vZZ4hhniJU,Learning Multi-Agent Communication with Contrastive Learning,"Communication is a powerful tool for coordination in multi-agent RL. But inducing an effective, common language is a difficult challenge, particularly in the decentralized setting. In this work, we introduce an alternative perspective where communicative messages sent between agents are considered as different incomplete views of the environment state. By examining the relationship between messages sent and received, we propose to learn to communicate using contrastive learning to maximize the mutual information between messages of a given trajectory. In communication-essential environments, our method outperforms previous work in both performance and learning speed. Using qualitative metrics and representation probing, we show that our method induces more symmetric communication and captures global state information from the environment. Overall, we show the power of contrastive learning and the importance of leveraging messages as encodings for effective communication.","['Multi-Agent Reinforcement Learning', 'Emergent Communication', 'Contrastive Learning']",,https://openreview.net{'value': '/pdf/2c9dcdc69b3da56a7ebdec7279ee8bc8087b5c39.pdf'},ICLR,2024,ICLR.cc,data/ICLR/2024/papers.csv,False,0.8,4,"While the paper discusses multi-agent reinforcement learning and communication, it does not explicitly involve data synthesis, synthetic data generation, or simulated data. The focus is on learning communication strategies rather than utilizing synthetic data for training agents.","Multi-Agent Reinforcement Learning, Emergent Communication, Contrastive Learning"
https://openreview.net/forum?id=tmqOhBC4a5,Maximum Entropy Heterogeneous-Agent Reinforcement Learning,"*Multi-agent reinforcement learning* (MARL) has been shown effective for cooperative games in recent years. However, existing state-of-the-art methods face challenges related to sample complexity, training instability, and the risk of converging to a suboptimal Nash Equilibrium. In this paper, we propose a unified framework for learning \emph{stochastic} policies to resolve these issues. We embed cooperative MARL problems into probabilistic graphical models, from which we derive the maximum entropy (MaxEnt) objective for MARL. Based on the MaxEnt framework, we propose *Heterogeneous-Agent Soft Actor-Critic* (HASAC) algorithm. Theoretically, we prove the monotonic improvement and convergence to *quantal response equilibrium* (QRE) properties of HASAC. Furthermore, we generalize a unified template for MaxEnt algorithmic design named *Maximum Entropy Heterogeneous-Agent Mirror Learning* (MEHAML), which provides any induced method with the same guarantees as HASAC. We evaluate HASAC on six benchmarks: Bi-DexHands, Multi-Agent MuJoCo, StarCraft Multi-Agent Challenge, Google Research Football, Multi-Agent Particle Environment, and Light Aircraft Game. Results show that HASAC consistently outperforms strong baselines, exhibiting better sample efficiency, robustness, and sufficient exploration.","['cooperative multi-agent reinforcement learning', 'heterogeneous-agent soft actor-critic', 'maximum entropy heterogeneous-agent mirror learning']",,https://openreview.net{'value': '/pdf/82bacc9b0a9551bf4922e43270f4c315044f70af.pdf'},ICLR,2024,ICLR.cc,data/ICLR/2024/papers.csv,False,0.8,4,"While the paper discusses multi-agent reinforcement learning and proposes a new algorithm for improving sample efficiency and robustness, it does not explicitly address data synthesis, synthetic data generation, or the use of simulated environments. The focus is primarily on algorithmic improvements rather than on the synthesis of data for training agents.","multi-agent reinforcement learning, sample efficiency, algorithmic improvements"
https://openreview.net/forum?id=s9z0HzWJJp,SocioDojo: Building Lifelong Analytical Agents with Real-world Text and Time Series,"{'value': 'We introduce SocioDojo, an open-ended lifelong learning environment for developing ready-to-deploy autonomous agents capable of performing human-like analysis and decision-making on societal topics such as economics, finance, politics, and culture. It consists of (1) information sources from news, social media, reports, etc., (2) a knowledge base built from books, journals, and encyclopedias, plus a toolbox of Internet and knowledge graph search interfaces, (3) 30K high-quality time series in finance, economy, society, and polls, which support a novel task called ""hyperportfolio"", that can reliably and scalably evaluate societal analysis and decision-making power of agents, inspired by portfolio optimization with time series as assets to ""invest"". We also propose a novel Analyst-Assistant-Actuator architecture for the hyperportfolio task, and a Hypothesis & Proof prompting for producing in-depth analyses on input news, articles, etc. to assist decision-making. We perform experiments and ablation studies to explore the factors that impact performance. The results show that our proposed method achieves improvements of 32.4% and 30.4% compared to the state-of-the-art method in the two experimental settings.'}","['Large Langauge Models', 'Agent', 'Prompt Tunning', 'Time series forcasting']",,https://openreview.net{'value': '/pdf/473beb76f232cb31d5e4d7594a17375a1347cef9.pdf'},ICLR,2024,ICLR.cc,data/ICLR/2024/papers.csv,False,0.8,4,"While the paper discusses autonomous agents and their decision-making capabilities, it does not explicitly focus on data synthesis or synthetic data generation techniques. The emphasis is on real-world data sources and time series analysis rather than synthetic data for training agents. Therefore, it does not align closely with the survey's focus on agent learning with data synthesis.","autonomous agents, real-world data, time series analysis"
https://openreview.net/forum?id=pAoqRlTBtY,Causal Modelling Agents: Causal Graph Discovery through Synergising Metadata- and Data-driven Reasoning,"{'value': ""Scientific discovery hinges on the effective integration of metadata, which refers to a set of 'cognitive' operations such as determining what information is relevant for inquiry, and data, which encompasses physical operations such as observation and experimentation. This paper introduces the Causal Modelling Agent (CMA), a novel framework that synergizes the metadata-based reasoning capabilities of Large Language Models (LLMs) with the data-driven modelling of Deep Structural Causal Models (DSCMs) for the task of causal discovery. We evaluate the CMA's performance on a number of benchmarks, as well as on the real-world task of modelling the clinical and radiological phenotype of Alzheimer's Disease (AD). Our experimental results indicate that the CMA can outperform previous data-driven or metadata-driven approaches to causal discovery. In our real-world application, we use the CMA to derive new insights into the causal relationships among biomarkers of AD.""}","['Causal Reasoning', 'Causal Discovery', 'Structural Causal Models', 'Large Language Models']",,https://openreview.net{'value': '/pdf/62fc3766e10c6f5fa2f2a9b44b46098519f89596.pdf'},ICLR,2024,ICLR.cc,data/ICLR/2024/papers.csv,False,0.8,3,"While the paper discusses a novel framework involving agents for causal discovery, it does not focus on agent learning methods that utilize data synthesis or synthetic data generation techniques. The primary emphasis is on causal reasoning and metadata integration rather than on the specific applications of synthetic data in agent training or performance improvement.",
https://openreview.net/forum?id=oQKKlzxV1o,Online Information Acquisition: Hiring Multiple Agents,"{'value': ""We investigate the mechanism design problem faced by a principal who hires \\emph{multiple} agents to gather and report costly information. Then, the principal exploits the  information to make an informed decision.  We model this problem as a game, where the principal announces a mechanism consisting in action recommendations and a payment function, a.k.a. scoring rule. Then, each agent chooses an effort level and receives partial information about an underlying state of nature based on the effort. Finally, the agents report the information (possibly non-truthfully), the principal takes a decision based on this information, and the agents are paid according to the scoring rule. While previous work focuses on single-agent problems, we consider multi-agents settings. This poses the challenge of coordinating the agents' efforts and aggregating correlated information. Indeed, we show that optimal mechanisms must correlate agents' efforts, which introduces externalities among the agents, and hence complex incentive compatibility constraints and equilibrium selection problems. First, we design a polynomial-time algorithm to find an optimal incentive compatible mechanism. Then, we study an online problem, where the principal repeatedly interacts with a group of unknown agents. We design a no-regret algorithm that provides $\\widetilde{\\mathcal{O}}(T^{2/3})$ regret with respect to an optimal mechanism, matching the state-of-the-art bound for single-agent settings.""}","['online learning', 'information acquisition', 'mechanism design']",,https://openreview.net{'value': '/pdf/83fcb8ac23e715a1b18621cd00f0a8a7d023dc7a.pdf'},ICLR,2024,ICLR.cc,data/ICLR/2024/papers.csv,False,0.8,3,"While the paper discusses a multi-agent system and the coordination of agents, it primarily focuses on mechanism design and information acquisition rather than on agent learning methods that utilize data synthesis or synthetic data generation. There is no clear connection to synthetic data or its application in training agents.","multi-agent systems, mechanism design, information acquisition"
https://openreview.net/forum?id=oKn9c6ytLx,WebArena: A Realistic Web Environment for Building Autonomous Agents,"With advances in generative AI, there is now potential for autonomous agents to manage daily tasks via natural language commands. However, current agents are primarily created and tested in simplified synthetic environments, leading to a disconnect with real-world scenarios. In this paper, we build an environment for language-guided agents that is highly realistic and reproducible. Specifically, we focus on agents that perform tasks on the web, and create an environment with fully functional websites from four common domains: e-commerce, social forum discussions, collaborative software development, and content management. Our environment is enriched with tools (e.g., a map) and external knowledge bases (e.g., user manuals) to encourage human-like task-solving. Building upon our environment, we release a set of benchmark tasks focusing on evaluating the functional correctness of task completions. The tasks in our benchmark are diverse, long-horizon, and designed to emulate tasks that humans routinely perform on the internet. We experiment with several baseline agents, integrating recent techniques such as reasoning before acting.  The results demonstrate that solving complex tasks is challenging: our best GPT-4-based agent only achieves an end-to-end task success rate of 14.41%, significantly lower than the human performance of 78.24%. These results highlight the need for further development of robust agents, that current state-of-the-art large language models are far from perfect performance in these real-life tasks, and that \ours can be used to measure such progress.\footnote{Code, data, environment reproduction instructions, video demonstrations are available in the supplementary.}",['language-guided agents; web automation; benchmark'],,https://openreview.net{'value': '/pdf/384c500abb2b5adc4f3c40956a267477925c4b94.pdf'},ICLR,2024,ICLR.cc,data/ICLR/2024/papers.csv,False,0.8,4,"While the paper discusses autonomous agents and their performance in a realistic web environment, it does not focus on data synthesis or synthetic data generation techniques. The emphasis is on creating a realistic environment rather than utilizing synthetic data for training or improving agent performance, which is a core aspect of the survey topic.","autonomous agents, realistic environment, benchmark tasks"
