forum,title,authors,authorids,keywords,abstract,pdf,match,venue,year,type
https://openreview.net/forum?id=zIb2DlqBxm,{'value': 'PHD: Pixel-Based Language Modeling of Historical Documents'},Nadav Borenstein; Phillip Rust; Desmond Elliott; Isabelle Augenstein,~Nadav_Borenstein1; ~Phillip_Rust1; ~Desmond_Elliott1; ~Isabelle_Augenstein1,"{'value': ['Visual language modelling', 'Historical documents', 'Multimodal models']}","{'value': ""The digitisation of historical documents has provided historians with unprecedented research opportunities. Yet, the conventional approach to analysing historical documents involves converting them from images to text using OCR, a process that overlooks the potential benefits of treating them as images and introduces high levels of noise. To bridge this gap, we take advantage of recent advancements in pixel-based language models trained to reconstruct masked patches of pixels instead of predicting token distributions. Due to the scarcity of real historical scans, we propose a novel method for generating synthetic scans to resemble real historical documents. We then pre-train our model, PHD, on a combination of synthetic scans and real historical newspapers from the 1700-1900 period. Through our experiments, we demonstrate that PHD exhibits high proficiency in reconstructing masked image patches and provide evidence of our model's noteworthy language understanding capabilities. Notably, we successfully apply our model to a historical QA task, highlighting its usefulness in this domain.""}",https://openreview.net{'value': '/attachment/1755d499100b87fc32e92f0c2797ebeb68ddfe31.pdf'},{'abstract_filter': 'Synthetic'},EMNLP,2023,Conference
https://openreview.net/forum?id=yO4cAfFjlp,{'value': 'Theory of Mind for Multi-Agent Collaboration via Large Language Models'},Huao Li; Yu Quan Chong; Simon Stepputtis; Joseph Campbell; Dana Hughes; Charles Michael Lewis; Katia P. Sycara,~Huao_Li1; ~Yu_Quan_Chong1; ~Simon_Stepputtis1; ~Joseph_Campbell1; ~Dana_Hughes1; ~Charles_Michael_Lewis1; ~Katia_P._Sycara1,"{'value': ['Large Language Models', 'Multi-Agent Reinforcement Learning', 'Theory of Mind']}","{'value': ""While Large Language Models (LLMs) have demonstrated impressive accomplishments in both reasoning and planning, their abilities in multi-agent collaborations remains largely unexplored. This study evaluates LLM-based agents in a multi-agent cooperative text game with Theory of Mind (ToM) inference tasks, comparing their performance with Multi-Agent Reinforcement Learning (MARL) and planning-based baselines. We observed evidence of emergent collaborative behaviors and high-order Theory of Mind capabilities among LLM-based agents. Our results reveal limitations in LLM-based agents' planning optimization due to systematic failures in managing long-horizon contexts and hallucination about the task state. We explore the use of explicit belief state representations to mitigate these issues, finding that it enhances task performance and the accuracy of ToM inferences for LLM-based agents.""}",https://openreview.net{'value': '/attachment/20287192d1ce65afb496b0a2263ffdccc3b13c00.pdf'},{'title_filter': 'Agent'},EMNLP,2023,Conference
https://openreview.net/forum?id=xxTtwEuOpS,{'value': 'Understanding Compositional Data Augmentation in Typologically Diverse Morphological Inflection'},Farhan Samir; Miikka Silfverberg,~Farhan_Samir1; ~Miikka_Silfverberg1,"{'value': ['morphological inflection', 'computational morphology', 'data augmentation']}","{'value': 'Data augmentation techniques are widely used in low-resource automatic morphological inflection to address the issue of data sparsity. However, the full implications of these techniques remain poorly understood. In this study, we aim to shed light on the theoretical aspects of the data augmentation strategy StemCorrupt, a method that generates synthetic examples by randomly substituting stem characters in existing gold standard training examples. Our analysis uncovers that StemCorrupt brings about fundamental changes in the underlying data distribution, revealing  inherent compositional concatenative structure. To complement our theoretical analysis, we investigate the data-efficiency of StemCorrupt. Through evaluation across a diverse set of seven typologically distinct languages, we demonstrate that selecting a subset of datapoints with both high diversity \\textit{and} high predictive uncertainty significantly enhances the data-efficiency of compared to competitive baselines. Furthermore, we explore the impact of typological features on the choice of augmentation strategy and find that languages incorporating non-concatenativity, such as morphonological alternations, derive less benefit from synthetic examples with high predictive uncertainty. We attribute this effect to phonotactic violations induced by StemCorrupt, emphasizing the need for further research to ensure optimal performance across the entire spectrum of natural language morphology.'}",https://openreview.net{'value': '/attachment/378d210942e3f6f4f588df7c11cc9a65129d0424.pdf'},{'abstract_filter': 'Synthetic'},EMNLP,2023,Conference
https://openreview.net/forum?id=x7zquRQfoB,{'value': 'How to Enhance Causal Discrimination of Utterances: A Case on Affective Reasoning'},Hang Chen; Xinyu Yang; Jing Luo; Wenjing Zhu,~Hang_Chen3; ~Xinyu_Yang2; ~Jing_Luo1; ~Wenjing_Zhu1,"{'value': ['Causal Discrimination', 'Conversation', 'Independent Noise', 'SCM']}","{'value': ""Our investigation into the Affective Reasoning in Conversation (ARC) task highlights the challenge of causal discrimination. Almost all existing models, including large language models (LLMs), excel at capturing semantic correlations within utterance embeddings but fall short in determining the specific causal relationships. To overcome this limitation, we propose the incorporation of \\textit{i.i.d.} noise terms into the conversation process, thereby constructing a structural causal model (SCM). It explores how distinct causal relationships of fitted embeddings can be discerned through independent conditions. To facilitate the implementation of deep learning, we introduce the cogn frameworks to handle unstructured conversation data, and employ an autoencoder architecture to regard the unobservable noise as learnable ``implicit causes.'' Moreover, we curate a synthetic dataset that includes i.i.d. noise. Through comprehensive experiments, we validate the effectiveness and interpretability of our approach. Our code is available in https://github.com/Zodiark-ch/mater-of-our-EMNLP2023-paper.""}",https://openreview.net{'value': '/attachment/8d8a32944bc213da708f1ba8770a3c0e472528f6.pdf'},{'abstract_filter': 'Synthetic'},EMNLP,2023,Conference
https://openreview.net/forum?id=w4FwmICSHZ,{'value': 'Multitask Multimodal Prompted Training for Interactive Embodied Task Completion'},Georgios Pantazopoulos; Malvina Nikandrou; Amit Parekh; Bhathiya Hemanthage; Arash Eshghi; Ioannis Konstas; Verena Rieser; Oliver Lemon; Alessandro Suglia,~Georgios_Pantazopoulos1; ~Malvina_Nikandrou1; ~Amit_Parekh1; ~Bhathiya_Hemanthage1; ~Arash_Eshghi1; ~Ioannis_Konstas1; ~Verena_Rieser1; ~Oliver_Lemon1; ~Alessandro_Suglia1,"{'value': ['Vision and Language', 'Embodied AI', 'Natural Language Interaction']}","{'value': 'Interactive and embodied tasks pose at least two fundamental challenges to existing Vision \\& Language (VL) models, including 1) grounding language in trajectories of actions and observations, and 2) referential disambiguation. To tackle these challenges, we propose an Embodied MultiModal Agent (EMMA): a unified encoder-decoder model that reasons over images and trajectories, and casts action prediction as multimodal text generation. By unifying all tasks as text generation, EMMA learns a language of actions which facilitates transfer across tasks. Different to previous modular approaches with independently trained components, we use a single multitask model where each task contributes to goal completion.  EMMA  performs on par with similar models on several VL benchmarks and sets a new state-of-the-art performance (36.81\\% success rate) on the Dialog-guided Task Completion (DTC), a benchmark to evaluate dialog-guided agents in the Alexa Arena.'}",https://openreview.net{'value': '/attachment/5c1740ad856e91c16c50c0af905aa4bac5a56857.pdf'},{'abstract_filter': 'Agent'},EMNLP,2023,Conference
https://openreview.net/forum?id=ul47tFdRn6,{'value': 'DiffuVST: Narrating Fictional Scenes with Global-History-Guided Denoising Models'},Shengguang Wu; Mei Yuan; Qi Su,~Shengguang_Wu1; ~Mei_Yuan1; ~Qi_Su1,"{'value': ['visual storytelling', 'diffusion language models', 'global history guidance']}","{'value': 'Recent advances in image and video creation, especially AI-based image synthesis, have led to the production of numerous visual scenes that exhibit a high level of abstractness and diversity. Consequently, Visual Storytelling (VST), a task that involves generating meaningful and coherent narratives from a collection of images, has become even more challenging and is increasingly desired beyond real-world imagery. While existing VST techniques, which typically use autoregressive decoders, have made significant progress, they suffer from low inference speed and are not well-suited for synthetic scenes. To this end, we propose a novel diffusion-based system DiffuVST, which models the generation of a series of visual descriptions as a single conditional denoising process. The stochastic and non-autoregressive nature of DiffuVST at inference time allows it to generate highly diverse narratives more efficiently. In addition, DiffuVST features a unique design with bi-directional text history guidance and multimodal adapter modules, which effectively improve inter-sentence coherence and image-to-text fidelity. Extensive experiments on the story generation task covering four fictional visual-story datasets demonstrate the superiority of DiffuVST over traditional autoregressive models in terms of both text quality and inference speed.'}",https://openreview.net{'value': '/attachment/fa696aa54cba222ef0c6f823dd78c6438302c015.pdf'},{'abstract_filter': 'Synthetic'},EMNLP,2023,Conference
https://openreview.net/forum?id=u9gI4JlOSj,{'value': 'How Does Generative Retrieval Scale to Millions of Passages?'},Ronak Pradeep; Kai Hui; Jai Gupta; Adam D Lelkes; Honglei Zhuang; Jimmy Lin; Donald Metzler; Vinh Q. Tran,~Ronak_Pradeep1; ~Kai_Hui1; ~Jai_Gupta1; ~Adam_D_Lelkes1; ~Honglei_Zhuang1; ~Jimmy_Lin2; ~Donald_Metzler1; ~Vinh_Q._Tran1,"{'value': ['generative retrieval', 'differentiable search index', 'information retrieval']}","{'value': 'The emerging paradigm of generative retrieval re-frames the classic information retrieval problem into a sequence-to-sequence modeling task, forgoing external indices and encoding an entire document corpus within a single Transformer.\nAlthough many different approaches have been proposed to improve the effectiveness of generative retrieval, they have only been evaluated on document corpora on the order of 100K in size.\nWe conduct the first empirical study of generative retrieval techniques across various corpus scales, ultimately scaling up to the entire MS MARCO passage ranking task with a corpus of 8.8M passages and evaluating model sizes up to 11B parameters.\nWe uncover several findings about scaling generative retrieval to millions of passages; notably, the central importance of using synthetic queries as document representations during indexing, the ineffectiveness of existing proposed architecture modifications when accounting for compute cost, and the limits of naively scaling model parameters with respect to retrieval performance.\nWhile we find that generative retrieval is competitive with state-of-the-art dual encoders on small corpora, scaling to millions of passages remains an important and unsolved challenge.\nWe believe these findings will be valuable for the community to clarify the current state of generative retrieval, highlight the unique challenges, and inspire new research directions.'}",https://openreview.net{'value': '/attachment/d5ba5a246856798a3f036beb097bb3c428d6bc90.pdf'},{'abstract_filter': 'Synthetic'},EMNLP,2023,Conference
https://openreview.net/forum?id=svSNikfCs1,{'value': 'Exploiting Asymmetry for Synthetic Training Data Generation: SynthIE and the Case of Information Extraction'},Martin Josifoski; Marija Sakota; Maxime Peyrard; Robert West,~Martin_Josifoski1; ~Marija_Sakota1; ~Maxime_Peyrard2; ~Robert_West1,"{'value': ['LLM', 'Synthetic Data Generation', 'Information Extraction', 'Closed Information Extraction', 'Parsing', 'Structured Output']}","{'value': 'Large language models (LLMs) have great potential for synthetic data generation. This work shows that useful data can be synthetically generated even for tasks that cannot be solved directly by LLMs: for problems with structured outputs, it is possible to prompt an LLM to perform the task in the reverse direction, by generating plausible input text for a target output structure. Leveraging this asymmetry in task difficulty makes it possible to produce large-scale, high-quality data for complex tasks. We demonstrate the effectiveness of this approach on closed information extraction, where collecting ground-truth data is challenging, and no satisfactory dataset exists to date. We synthetically generate a dataset of 1.8M data points, establish its superior quality compared to existing datasets in a human evaluation, and use it to finetune small models (220M and 770M parameters), termed SynthIE, that outperform the prior state of the art (with equal model size) by a substantial margin of 57 absolute points in micro-F1 and 79 points in macro-F1. Code, data, and models are available at anonymous.'}",https://openreview.net{'value': '/attachment/5a3b3789e8d350113bf0d89cb1f7673d51f28ef6.pdf'},{'title_filter': 'Synthetic'},EMNLP,2023,Conference
https://openreview.net/forum?id=sKdsBUAnts,{'value': 'Building Persona Consistent Dialogue Agents with Offline Reinforcement Learning'},Ryan Shea; Zhou Yu,~Ryan_Shea1; ~Zhou_Yu1,"{'value': ['NLP', 'persona consistent dialogue', 'offline reinforcement learning']}","{'value': 'Maintaining a consistent persona is a key quality for any open domain dialogue system. Current state-of-the-art systems do this by training agents with supervised learning or online reinforcement learning (RL). However, systems trained with supervised learning often lack consistency as they are never punished for uttering contradictions. Additional training with RL can alleviate some of these issues, however the training process is expensive. Instead, we propose an offline RL framework to improve the persona consistency of dialogue systems. Our framework allows us to combine the advantages of previous methods as we can inexpensively train our model on existing data as in supervised learning, while punishing and rewarding specific utterances as in RL. We also introduce a simple importance sampling method to reduce the variance of importance weights in offline RL training which we call Variance-Reducing MLE-Initialized (VaRMI) importance sampling. Our automatic and human evaluations show that our framework improves both the persona consistency and dialogue quality of a state-of-the-art social chatbot.'}",https://openreview.net{'value': '/attachment/c92d47f248102d96a34a5a9d13462c89c5cfbfc2.pdf'},{'title_filter': 'Agent'},EMNLP,2023,Conference
https://openreview.net/forum?id=sCu26OfxxZ,{'value': 'INA: An Integrative Approach for Enhancing Negotiation Strategies with Reward-Based Dialogue Agent'},Zishan Ahmad; Suman Saurabh; Vaishakh Sreekanth Menon; Asif Ekbal; Roshni Ramnani; ANUTOSH MAITRA,~Zishan_Ahmad2; ~Suman_Saurabh1; ~Vaishakh_Sreekanth_Menon1; ~Asif_Ekbal1; ~Roshni_Ramnani1; ~ANUTOSH_MAITRA1,"{'value': ['Negotiation', 'Dialogue Agent', 'Prompting']}","{'value': 'In this paper, we propose a novel negotiation agent designed for the online marketplace. Our dialogue agent is integrative in nature i.e, it possesses the capability to negotiate on price as well as other factors, such as the addition or removal of items from a deal bundle, thereby offering a more flexible and comprehensive negotiation experience. To enable this functionality, we create a new dataset called Integrative Negotiation Dataset (IND). For this dataset creation, we introduce a new semi-automated data creation method, which combines defining negotiation intents, actions, and intent-action simulation between users and the agent to generate potential dialogue flows. Finally, the prompting of GPT-J, a state-of-the-art language model, is done to generate dialogues for a given intent, with a human-in-the-loop process for post-editing and refining minor errors to ensure high data quality. We first train a maximum likelihood loss based model on IND, and then  employ a set of novel rewards specifically tailored for the negotiation task to train our Integrative Negotiation Agent (INA). These rewards incentivize the agent to learn effective negotiation strategies that can adapt to various contextual requirements and price proposals. We train our model and conduct experiments to evaluate the effectiveness of our reward-based dialogue agent for negotiation. Our results demonstrate that the proposed approach and reward functions significantly enhance the negotiation capabilities of the dialogue agent. The INA successfully engages in integrative negotiations, displaying the ability to dynamically adjust prices and negotiate the inclusion or exclusion of items in a deal bundle.'}",https://openreview.net{'value': '/attachment/c8f7864a6d281fa35be5eb2bd71539c735160443.pdf'},{'title_filter': 'Agent'},EMNLP,2023,Conference
