forum,title,authors,authorids,keywords,abstract,pdf,match,venue,year,type
https://openreview.net/forum?id=zdNTiTs5gU,{'value': 'TIC-TAC: A Framework For Improved Covariance Estimation In Deep Heteroscedastic Regression'},Megh Shukla; Mathieu Salzmann; Alexandre Alahi,~Megh_Shukla1; ~Mathieu_Salzmann1; ~Alexandre_Alahi3,,"{'value': 'Deep heteroscedastic regression involves jointly optimizing the mean and covariance of the predicted distribution using the negative log-likelihood. However, recent works show that this may result in sub-optimal convergence due to the challenges associated with covariance estimation. While the literature addresses this by proposing alternate formulations to mitigate the impact of the predicted covariance, we focus on improving the predicted covariance itself. We study two questions: (1) Does the predicted covariance truly capture the randomness of the predicted mean? (2) In the absence of supervision, how can we quantify the accuracy of covariance estimation? We address (1) with a _Taylor Induced Covariance (TIC)_, which captures the randomness of the predicted mean by incorporating its gradient and curvature through the second order Taylor polynomial. Furthermore, we tackle (2) by introducing a _Task Agnostic Correlations (TAC)_ metric, which combines the notion of correlations and absolute error to evaluate the covariance. We evaluate TIC-TAC across multiple experiments spanning synthetic and real-world datasets. Our results show that not only does TIC accurately learn the covariance, it additionally facilitates an improved convergence of the negative log-likelihood. Our code is available at [https://github.com/vita-epfl/TIC-TAC](https://github.com/vita-epfl/TIC-TAC)'}",https://openreview.net{'value': '/pdf/f4f6afe3515d9a18668fc0e5440959a1962def17.pdf'},{'abstract_filter': 'Synthetic'},ICML.cc,2024,Conference
https://openreview.net/forum?id=zc3bAEI5lp,{'value': 'Differentially Private Sum-Product Networks'},Xenia Heilmann; Mattia Cerrato; Ernst Althaus,~Xenia_Heilmann1; ~Mattia_Cerrato1; ernst.althaus@uni-mainz.de,,"{'value': 'Differentially private ML approaches seek to learn models which may be publicly released while guaranteeing that the input data is kept private. One issue with this construction is that further model releases based on the same training data (e.g. for a new task) incur a further privacy budget cost. Privacy-preserving synthetic data generation is one possible solution to this conundrum. However, models trained on synthetic private data struggle to approach the performance of private, ad-hoc models. In this paper, we present a novel method based on sum-product networks that is able to perform both privacy-preserving classification and privacy-preserving data generation with a single model. To the best of our knowledge, ours is the first approach that provides both discriminative and generative capabilities to differentially private ML. We show that our approach outperforms the state of the art in terms of stability (i.e. number of training runs required for convergence) and utility of the generated data.'}",https://openreview.net{'value': '/pdf/7f1c50d0458286933868611ae657128c5c7b5874.pdf'},{'abstract_filter': 'Synthetic'},ICML.cc,2024,Conference
https://openreview.net/forum?id=zMwFvxr6CV,{'value': 'Agent Instructs Large Language Models to be General Zero-Shot Reasoners'},Nicholas Crispino; Kyle Montgomery; Fankun Zeng; Dawn Song; Chenguang Wang,~Nicholas_Crispino1; ~Kyle_Montgomery1; ~Fankun_Zeng1; ~Dawn_Song1; ~Chenguang_Wang1,,"{'value': 'We introduce a method to improve the zero-shot reasoning abilities of large language models on general language understanding tasks. Specifically, we build an autonomous agent to instruct the reasoning process of large language models. To enable this, our agent only needs to generate a single set of instructions for each task. These instructions turn out to be extremely effective for improving the reasoning process of different large language models across all task instances. We show this approach further unleashes the zero-shot reasoning abilities of large language models to more tasks. We study the performance of our method on a wide set of datasets spanning generation, classification, and reasoning. We show that our method generalizes to most tasks and obtains state-of-the-art zero-shot performance on 20 of the 29 datasets that we evaluate. For instance, our method boosts the performance of state-of-the-art large language models by a large margin, including Vicuna-13b, Llama-2-70b-chat, and GPT-3.5 Turbo. Compared to zero-shot chain of thought, our improvement in reasoning is striking. With our method, Llama-2-70b-chat outperforms zero-shot GPT-3.5 Turbo significantly.'}",https://openreview.net{'value': '/pdf/712ce06fef1f61ef5246bb1724c3692c9937bc59.pdf'},{'title_filter': 'Agent'},ICML.cc,2024,Conference
https://openreview.net/forum?id=z8sYc334fU,{'value': 'What is Dataset Distillation Learning?'},William Yang; Ye Zhu; Zhiwei Deng; Olga Russakovsky,~William_Yang1; ~Ye_Zhu3; ~Zhiwei_Deng3; ~Olga_Russakovsky1,,"{'value': 'Dataset distillation has emerged as a strategy to overcome the hurdles associated with large datasets by learning a compact set of synthetic data that retains essential information from the original dataset. While distilled data can be used to train high performing models, little is understood about how the information is stored. In this study, we posit and answer three questions about the behavior, representativeness, and point-wise information content of distilled data. We reveal distilled data cannot serve as a substitute for real data during training outside the standard evaluation setting for dataset distillation. Additionally, the distillation process retains high task performance by compressing information related to the early training dynamics of real models. Finally, we provide an framework for interpreting distilled data and reveal that individual distilled data points contain meaningful semantic information. This investigation sheds light on the intricate nature of distilled data, providing a better understanding on how they can be effectively utilized.'}",https://openreview.net{'value': '/pdf/669e281d2ba6dc21143c18dc1499fad671681c14.pdf'},{'abstract_filter': 'Synthetic'},ICML.cc,2024,Conference
https://openreview.net/forum?id=ykgZk6vFrh,{'value': 'Incentivized Learning in Principal-Agent Bandit Games'},Antoine Scheid; Daniil Tiapkin; Etienne Boursier; Aymeric Capitaine; Eric Moulines; Michael Jordan; El-Mahdi El-Mhamdi; Alain Oliviero Durmus,~Antoine_Scheid1; ~Daniil_Tiapkin1; ~Etienne_Boursier1; ~Aymeric_Capitaine1; ~Eric_Moulines1; ~Michael_Jordan1; ~El-Mahdi_El-Mhamdi1; ~Alain_Oliviero_Durmus1,,"{'value': ""This work considers a repeated principal-agent bandit game, where the principal can only interact with her environment through the agent. The principal and the agent have misaligned objectives and the choice of action is only left to the agent. However, the principal can influence the agent's decisions by offering incentives which add up to his rewards. The principal aims to iteratively learn an incentive policy to maximize her own total utility. This framework extends usual bandit problems and is motivated by several practical applications, such as healthcare or ecological taxation, where traditionally used mechanism design theories often overlook the learning aspect of the problem. We present nearly optimal (with respect to a horizon $T$) learning algorithms for the principal's regret in both multi-armed and linear contextual settings. Finally, we support our theoretical guarantees through numerical experiments.""}",https://openreview.net{'value': '/pdf/30769721594d4ad896d36dda1636489629802123.pdf'},{'title_filter': 'Agent'},ICML.cc,2024,Conference
https://openreview.net/forum?id=ykZYLBcA9g,{'value': 'Learning with Complementary Labels Revisited: The Selected-Completely-at-Random Setting Is More Practical'},Wei Wang; Takashi Ishida; Yu-Jie Zhang; Gang Niu; Masashi Sugiyama,~Wei_Wang68; ~Takashi_Ishida1; ~Yu-Jie_Zhang1; ~Gang_Niu1; ~Masashi_Sugiyama1,,"{'value': 'Complementary-label learning is a weakly supervised learning problem in which each training example is associated with one or multiple complementary labels indicating the classes to which it does not belong. Existing consistent approaches have relied on the uniform distribution assumption to model the generation of complementary labels, or on an ordinary-label training set to estimate the transition matrix in non-uniform cases. However, either condition may not be satisfied in real-world scenarios. In this paper, we propose a novel consistent approach that does not rely on these conditions. Inspired by the positive-unlabeled (PU) learning literature, we propose an unbiased risk estimator based on the Selected-Completely-at-Random assumption for complementary-label learning. We then introduce a risk-correction approach to address overfitting problems. Furthermore, we find that complementary-label learning can be expressed as a set of negative-unlabeled binary classification problems when using the one-versus-rest strategy. Extensive experimental results on both synthetic and real-world benchmark datasets validate the superiority of our proposed approach over state-of-the-art methods.'}",https://openreview.net{'value': '/pdf/e66aab8b3dc4b9ab443603123959980477e1f765.pdf'},{'abstract_filter': 'Synthetic'},ICML.cc,2024,Conference
https://openreview.net/forum?id=yShA4VPYZB,{'value': '${\\rm E}(3)$-Equivariant Actor-Critic Methods for Cooperative Multi-Agent Reinforcement Learning'},Dingyang Chen; Qi Zhang,~Dingyang_Chen1; ~Qi_Zhang12,,"{'value': 'Identification and analysis of symmetrical patterns in the natural world have led to significant discoveries across various scientific fields, such as the formulation of gravitational laws in physics and advancements in the study of chemical structures. In this paper, we focus on exploiting Euclidean symmetries inherent in certain cooperative multi-agent reinforcement learning (MARL) problems and prevalent in many applications. We begin by formally characterizing a subclass of Markov games with a general notion of symmetries that admits the existence of symmetric optimal values and policies. Motivated by these properties, we design neural network architectures with symmetric constraints embedded as an inductive bias for multi-agent actor-critic methods. This inductive bias results in superior performance in various cooperative MARL benchmarks and impressive generalization capabilities such as zero-shot learning and transfer learning in unseen scenarios with repeated symmetric patterns.'}",https://openreview.net{'value': '/pdf/694e33b8df6d1b84e2a807b48756faa1dad6637d.pdf'},{'title_filter': 'Agent'},ICML.cc,2024,Conference
https://openreview.net/forum?id=y8YovS0lOg,{'value': 'On the Implicit Bias of Adam'},Matias D. Cattaneo; Jason Matthew Klusowski; Boris Shigida,~Matias_D._Cattaneo1; ~Jason_Matthew_Klusowski1; ~Boris_Shigida1,,"{'value': 'In previous literature, backward error analysis was used to find ordinary differential equations (ODEs) approximating the gradient descent trajectory. It was found that finite step sizes implicitly regularize solutions because terms appearing in the ODEs penalize the two-norm of the loss gradients. We prove that the existence of similar implicit regularization in RMSProp and Adam depends on their hyperparameters and the training stage, but with a different ""norm"" involved: the corresponding ODE terms either penalize the (perturbed) one-norm of the loss gradients or, conversely, impede its reduction (the latter case being typical). We also conduct numerical experiments and discuss how the proven facts can influence generalization.'}",https://openreview.net{'value': '/pdf/6bff9b7039e4b14ba3a6ae32b21943bc25129a2a.pdf'},{'abstract_filter': 'Trajectory'},ICML.cc,2024,Conference
https://openreview.net/forum?id=xye7iNsgXn,{'value': 'Actions Speak Louder than Words: Trillion-Parameter Sequential Transducers for Generative Recommendations'},Jiaqi Zhai; Lucy Liao; Xing Liu; Yueming Wang; Rui Li; Xuan Cao; Leon Gao; Zhaojie Gong; Fangda Gu; Jiayuan He; Yinghai Lu; Yu Shi,~Jiaqi_Zhai1; ~Lucy_Liao1; ~Xing_Liu5; ~Yueming_Wang4; ~Rui_Li32; ~Xuan_Cao2; ~Leon_Gao1; ~Zhaojie_Gong1; ~Fangda_Gu1; ~Jiayuan_He2; ~Yinghai_Lu1; ~Yu_Shi1,,"{'value': ""Large-scale recommendation systems are characterized by their reliance on high cardinality, heterogeneous features and the need to handle tens of billions of user actions on a daily basis. Despite being trained on huge volume of data with thousands of features, most Deep Learning Recommendation Models (DLRMs) in industry fail to scale with compute. Inspired by success achieved by Transformers in language and vision domains, we revisit fundamental design choices in recommendation systems. We reformulate recommendation problems as sequential transduction tasks within a generative modeling framework (``Generative Recommenders''), and propose a new architecture, HSTU, designed for high cardinality, non-stationary streaming recommendation data. HSTU outperforms baselines over synthetic and public datasets by up to 65.8% in NDCG, and is 5.3x to 15.2x faster than FlashAttention2-based Transformers on 8192 length sequences. HSTU-based Generative Recommenders, with 1.5 trillion parameters, improve metrics in online A/B tests by 12.4% and have been deployed on multiple surfaces of a large internet platform with billions of users. More importantly, the model quality of Generative Recommenders empirically scales as a power-law of training compute across three orders of magnitude, up to GPT-3/LLaMa-2 scale, which reduces carbon footprint needed for future model developments, and further paves the way for the first foundation models in recommendations.""}",https://openreview.net{'value': '/pdf/bb47081b90b48b580e77f6a8f3e7ba940022b0ba.pdf'},{'abstract_filter': 'Synthetic'},ICML.cc,2024,Conference
https://openreview.net/forum?id=xW79geE0RA,{'value': 'Model-based Reinforcement Learning for Parameterized Action Spaces'},Renhao Zhang; Haotian Fu; Yilin Miao; George Konidaris,~Renhao_Zhang1; ~Haotian_Fu3; ~Yilin_Miao1; ~George_Konidaris1,,{'value': 'We propose a novel model-based reinforcement learning algorithm---Dynamics Learning and predictive control with Parameterized Actions (DLPA)---for Parameterized Action Markov Decision Processes (PAMDPs). The agent learns a parameterized-action-conditioned dynamics model and plans with a modified Model Predictive Path Integral control. We theoretically quantify the difference between the generated trajectory and the optimal trajectory during planning in terms of the value they achieved through the lens of Lipschitz Continuity. Our empirical results on several standard benchmarks show that our algorithm achieves superior sample efficiency and asymptotic performance than state-of-the-art PAMDP methods.'},https://openreview.net{'value': '/pdf/e252b7f6920dbad3c944f7473abb07e3c10d70c8.pdf'},{'abstract_filter': 'Trajectory'},ICML.cc,2024,Conference
