forum,title,authors,authorids,keywords,abstract,pdf,match,venue,year,type
https://openreview.net/forum?id=ztVk8XNffY,{'value': 'HAIF-GS: Hierarchical and Induced Flow-Guided Gaussian Splatting for Dynamic Scene'},Jianing Chen; Zehao Li; Yujun Cai; Hao Jiang; Chengxuan Qian; Juyuan Kang; Shuqin Gao; Honglong Zhao; Tianlu Mao; Yucheng Zhang,~Jianing_Chen4; ~Zehao_Li7; ~Yujun_Cai1; ~Hao_Jiang14; ~Chengxuan_Qian1; ~Juyuan_Kang1; ~Shuqin_Gao1; ~Honglong_Zhao1; ~Tianlu_Mao1; ~Yucheng_Zhang7,{'value': ['3D dynamic reconstruction; computer vision']},"{'value': 'Reconstructing dynamic 3D scenes from monocular videos remains a fundamental challenge in 3D vision. While 3D Gaussian Splatting (3DGS) achieves real-time rendering in static settings, extending it to dynamic scenes is challenging due to the difficulty of learning structured and temporally consistent motion representations. This challenge often manifests as three limitations in existing methods: redundant Gaussian updates, insufficient motion supervision, and weak modeling of complex non-rigid deformations. These issues collectively hinder coherent and efficient dynamic reconstruction. To address these limitations, we propose HAIF-GS, a unified framework that enables structured and consistent dynamic modeling through sparse anchor-driven deformation. It first identifies motion-relevant regions via an Anchor Filter to suppress redundant updates in static areas. A self-supervised Induced Flow-Guided Deformation module induces anchor motion using multi-frame feature aggregation, eliminating the need for explicit flow labels. To further handle fine-grained deformations, a Hierarchical Anchor Propagation mechanism increases anchor resolution based on motion complexity and propagates multi-level transformations. Extensive experiments on synthetic and real-world benchmarks validate that HAIF-GS significantly outperforms prior dynamic 3DGS methods in rendering quality, temporal coherence, and reconstruction efficiency.'}",https://openreview.net{'value': '/pdf/7facf9c292a4b0e2f866dfcc0d4639cdddc0822b.pdf'},{'abstract_filter': 'Synthetic'},NeurIPS.cc,2025,Conference
https://openreview.net/forum?id=zssWxiiJZ1,{'value': 'Scalable and Cost-Efficient de Novo Template-Based Molecular Generation'},Piotr Gaiński; Oussama Boussif; Andrei Rekesh; Dmytro Shevchuk; Ali Parviz; Mike Tyers; Robert A. Batey; Michał Koziarski,~Piotr_Gaiński1; ~Oussama_Boussif1; ~Andrei_Rekesh1; ~Dmytro_Shevchuk1; ~Ali_Parviz1; ~Mike_Tyers1; ~Robert_A._Batey1; ~Michał_Koziarski1,"{'value': ['drug discovery', 'generative models', 'GFlowNets', 'synthesizability', 'molecular generation']}","{'value': 'Template-based molecular generation offers a promising avenue for drug design by ensuring generated compounds are synthetically accessible through predefined reaction templates and building blocks. In this work, we tackle three core challenges in template-based GFlowNets: (1) minimizing synthesis cost, (2) scaling to large building block libraries, and (3) effectively utilizing small fragment sets. We propose **Recursive Cost Guidance**, a backward policy framework that employs auxiliary machine learning models to approximate synthesis cost and viability. This guidance steers generation toward low-cost synthesis pathways, significantly enhancing cost-efficiency, molecular diversity, and quality, especially when paired with an **Exploitation Penalty** that balances the trade-off between exploration and exploitation. To enhance performance in smaller building block libraries, we develop a **Dynamic Library** mechanism that reuses intermediate high-reward states to construct full synthesis trees. Our approach establishes state-of-the-art results in template-based molecular generation.'}",https://openreview.net{'value': '/pdf/af99244b754c86531a7dc069f7725ac6ff0851fd.pdf'},{'abstract_filter': 'Synthetic'},NeurIPS.cc,2025,Conference
https://openreview.net/forum?id=zlRvBwWFII,{'value': 'Towards Syn-to-Real IQA: A Novel Perspective on Reshaping Synthetic Data Distributions'},Aobo Li; Jinjian Wu; Yongxu Liu; Leida Li; Weisheng Dong,~Aobo_Li1; ~Jinjian_Wu1; ~Yongxu_Liu2; ~Leida_Li3; ~Weisheng_Dong1,{'value': ['Blind Image Quality Assessment; Data Distribution Reshaping; Synthetic Data']},"{'value': ""Blind Image Quality Assessment (BIQA) has advanced significantly through deep learning, but the scarcity of large-scale labeled datasets remains a challenge. While synthetic data offers a promising solution, models trained on existing synthetic datasets often show limited generalization ability. In this work, we make a key observation that representations learned from synthetic datasets often exhibit a discrete and clustered pattern that hinders regression performance: features of high-quality images cluster around reference images, while those of low-quality images cluster based on distortion types. Our analysis reveals that this issue stems from the distribution of synthetic data rather than model architecture. Consequently, we introduce a novel framework SynDR-IQA, which reshapes synthetic data distribution to enhance BIQA generalization. Based on theoretical derivations of sample diversity and redundancy's impact on generalization error, SynDR-IQA employs two strategies: distribution-aware diverse content upsampling, which enhances visual diversity while preserving content distribution, and density-aware redundant cluster downsampling, which balances samples by reducing the density of densely clustered areas. Extensive experiments across three cross-dataset settings (synthetic-to-authentic, synthetic-to-algorithmic, and synthetic-to-synthetic) demonstrate the effectiveness of our method. The code is available at https://github.com/Li-aobo/SynDR-IQA.""}",https://openreview.net{'value': '/pdf/7e62b007b86b834a9e57cbdc9493baf2769202ad.pdf'},{'title_filter': 'Synthetic'},NeurIPS.cc,2025,Conference
https://openreview.net/forum?id=zlMupLoKRf,{'value': 'Causality Meets the Table: Debiasing LLMs for Faithful TableQA via Front-Door Intervention'},Zhen Yang; Ziwei Du; Minghan Zhang; Wei Du; Jie Chen; Fulan Qian; Shu Zhao,~Zhen_Yang14; ~Ziwei_Du1; ~Minghan_Zhang1; ~Wei_Du11; ~Jie_Chen35; ~Fulan_Qian1; ~Shu_Zhao4,"{'value': ['TableQA', 'Causal', 'Large Language Model', 'Question Answering']}","{'value': 'Table Question Answering (TableQA) combines natural language understanding and structured data reasoning, posing challenges in semantic interpretation and logical inference. Recent advances in Large Language Models (LLMs) have improved TableQA performance through Direct Prompting and Agent paradigms. However, these models often rely on spurious correlations, as they tend to overfit to token co-occurrence patterns in pretraining corpora, rather than perform genuine reasoning. To address this issue, we propose Causal Intervention TableQA (CIT), which is based on a structural causal graph and applies front-door adjustment to eliminate bias caused by token co-occurrence. CIT formalizes TableQA as a causal graph and identifies token co-occurrence patterns as confounders. By applying front-door adjustment, CIT guides question variant generation and reasoning to reduce confounding effects. Experiments on multiple benchmarks show that CIT achieves state-of-the-art performance, demonstrating its effectiveness in mitigating bias. Consistent gains across various LLMs further confirm its generalizability.'}",https://openreview.net{'value': '/pdf/6a1e1516933aea7cc761b87682abd0404f891aa2.pdf'},{'abstract_filter': 'Agent'},NeurIPS.cc,2025,Conference
https://openreview.net/forum?id=zft0zTOFkN,{'value': 'Noisy Multi-Label Learning through Co-Occurrence-Aware Diffusion'},Senyu Hou; Yuru Ren; Gaoxia Jiang; Wenjian Wang,~Senyu_Hou1; ~Yuru_Ren4; ~Gaoxia_Jiang1; ~Wenjian_Wang1,{'value': ['Multi-label classification; Noisy multi-label learning; Diffusion model; Co-occurrence-aware']},"{'value': ""Noisy labels often compel models to overfit, especially in multi-label classification tasks. Existing methods for noisy multi-label learning (NML) primarily follow a discriminative paradigm, which relies on noise transition matrix estimation or small-loss strategies to correct noisy labels. However, they remain substantial optimization difficulties compared to noisy single-label learning. In this paper, we propose a Co-Occurrence-Aware Diffusion (CAD) model, which reformulates NML from a generative perspective. We treat features as conditions and multi-labels as diffusion targets, optimizing the diffusion model for multi-label learning with theoretical guarantees. Benefiting from the diffusion model's strength in capturing multi-object semantics and structured label matrix representation, we can effectively learn the posterior mapping from features to true multi-labels. To mitigate the interference of noisy labels in the forward process, we guide generation using pseudo-clean labels reconstructed from the latent neighborhood space, replacing original point-wise estimates with neighborhood-based proxies. In the reverse process, we further incorporate label co-occurrence constraints to enhance the model's awareness of incorrect generation directions, thereby promoting robust optimization. Extensive experiments on both synthetic (Pascal-VOC, MS-COCO) and real-world (NUS-WIDE) noisy datasets demonstrate that our approach outperforms state-of-the-art methods.""}",https://openreview.net{'value': '/pdf/bb14ff10fa76295b55da8b8f131ed48cbf1fdb61.pdf'},{'abstract_filter': 'Synthetic'},NeurIPS.cc,2025,Conference
https://openreview.net/forum?id=zOFxp98km2,{'value': 'Online Portfolio Selection with ML Predictions'},Ziliang Zhang; Tianming Zhao; Albert Zomaya,~Ziliang_Zhang2; ~Tianming_Zhao1; ~Albert_Zomaya1,"{'value': ['Universal Portfolio', 'Algorithms with Predictions', 'Learning-augmented Algorithms']}","{'value': 'Online portfolio selection seeks to determine a sequence of allocations to maximize capital growth. Classical universal strategies asymptotically match the best constant-rebalanced portfolio but ignore potential forecasts, whereas heuristic methods often collapse when belief fails. We formalize this tension in a learning-augmented setting in which an investor observes (possibly erroneous) predictions prior to each decision moment, and we introduce the Rebalanced Arithmetic Mean portfolio with predictions (RAM). Under arbitrary return sequences, we prove that RAM captures at least a constant fraction of the hindsight-optimal wealth when forecasts are perfect while still exceeding the geometric mean of the sequence even when the predictions are adversarial. Comprehensive experiments on large-scale equity data strengthen our theory, spanning both synthetic prediction streams and production-grade machine-learning models. RAM advantages over universal-portfolio variants equipped with side information across various regimes. These results demonstrate that modest predictive power can be reliably converted into tangible gains without sacrificing worst-case guarantees.'}",https://openreview.net{'value': '/pdf/347d4b89a6029f1128cdfe309b92657d00b3d8e2.pdf'},{'abstract_filter': 'Synthetic'},NeurIPS.cc,2025,Conference
https://openreview.net/forum?id=zOCENGh1Jg,{'value': 'Private Evolution Converges'},Tomás González; Giulia Fanti; Aaditya Ramdas,~Tomás_González1; ~Giulia_Fanti1; ~Aaditya_Ramdas2,"{'value': ['Differential Privacy', 'Synthetic Data', 'Private Evolution']}","{'value': 'Private Evolution (PE) is a promising training-free method for differentially private (DP) synthetic data generation. While it achieves strong performance in some domains (e.g., images and text), its behavior in others (e.g., tabular data) is less consistent. To date, the only theoretical analysis of the convergence of PE depends on unrealistic assumptions about both the algorithm’s behavior and the structure of the sensitive dataset. In this work, we develop a new theoretical framework to understand PE’s practical behavior and identify sufficient conditions for its convergence. For $d$-dimensional sensitive datasets with $n$ data points from a convex and compact domain, we prove that under the right hyperparameter settings and given access to the Gaussian variation API proposed in \\cite{PE23}, PE \nproduces an $(\\varepsilon, \\delta)$-DP synthetic dataset with expected 1-Wasserstein distance $\\tilde{O}(d(n\\varepsilon)^{-1/d})$ from the original; this establishes worst-case convergence of the algorithm as $n \\to \\infty$. Our analysis extends to general Banach spaces as well. We also connect PE to the Private Signed Measure Mechanism, a method for DP synthetic data generation that has thus far not seen much practical adoption. We demonstrate the practical relevance of our theoretical findings in experiments.'}",https://openreview.net{'value': '/pdf/224415e39081ae5cf7ee3813a1639169f65f02ca.pdf'},{'abstract_filter': 'Synthetic'},NeurIPS.cc,2025,Conference
https://openreview.net/forum?id=zDU5sfYK1Z,{'value': 'Curriculum Design for Trajectory-Constrained Agent: Compressing Chain-of-Thought Tokens in LLMs'},Georgios Tzannetos; Parameswaran Kamalaruban; Adish Singla,~Georgios_Tzannetos1; ~Parameswaran_Kamalaruban2; ~Adish_Singla2,"{'value': ['Curriculum Design', 'Large Language Models', 'Reinforcement Learning', 'Chain-of-Thought Reasoning']}","{'value': 'Training agents to operate under strict constraints during deployment, such as limited resource budgets or stringent safety requirements, presents significant challenges, especially when these constraints render the task complex. In this work, we propose a curriculum learning strategy that gradually tightens constraints during training, enabling the agent to incrementally master the deployment requirements. Inspired by self-paced learning techniques in unconstrained reinforcement learning (RL), our approach facilitates a smoother transition to challenging environments by initially training on simplified versions of the constraints and progressively introducing the full deployment conditions. We provide a theoretical analysis using an RL agent in a binary-tree Markov Decision Process (MDP) to demonstrate that our curriculum strategy can accelerate training relative to a baseline approach that imposes the trajectory constraints from the outset. Moreover, we empirically validate the effectiveness and generality of our method across both RL and large language model (LLM) agents in diverse settings, including a binary-tree MDP, a multi-task navigation domain, and a math reasoning task with two benchmarks. These results highlight the potential of curriculum design in enhancing the efficiency and performance of agents operating under complex trajectory constraints during deployment. Moreover, when applied to LLMs, our strategy enables compression of output chain-of-thought tokens, achieving a substantial inference speedup on consumer hardware, demonstrating its effectiveness for resource-constrained deployment.'}",https://openreview.net{'value': '/pdf/3ef59a66c354632e4cb2789380511589795e676c.pdf'},{'title_filter': 'Agent'},NeurIPS.cc,2025,Conference
https://openreview.net/forum?id=z4AMrCOetn,{'value': 'LogicTree: Improving Complex Reasoning of LLMs via Instantiated Multi-step Synthetic Logical Data'},Zehao Wang; Lin Yang; Jie Wang; Kehan Wang; Hanzhu Chen; Bin Wang; Jianye HAO; Defu Lian; Bin Li; Enhong Chen,~Zehao_Wang10; ~Lin_Yang8; ~Jie_Wang1; ~Kehan_Wang4; ~Hanzhu_Chen1; ~Bin_Wang12; ~Jianye_HAO1; ~Defu_Lian1; ~Bin_Li8; ~Enhong_Chen1,"{'value': ['large language model', 'logical reasoning', 'data synthesis']}","{'value': ""Despite their remarkable performance on various tasks, Large Language Models (LLMs) still struggle with logical reasoning, particularly in complex and multi-step reasoning processes. \nAmong various efforts to enhance LLMs' reasoning capabilities, synthesizing large-scale, high-quality logical reasoning datasets has emerged as a promising direction. \nHowever, existing methods often rely on predefined templates for logical reasoning data generation, limiting their adaptability to real-world scenarios. \nTo address the limitation, we propose **LogicTree**, a novel framework for efficiently synthesizing multi-step logical reasoning dataset that excels in both complexity and instantiation.\nBy iteratively searching for applicable logic rules based on structural pattern matching to perform backward deduction, **LogicTree** constructs multi-step logic trees that capture complex reasoning patterns. \nFurthermore, we employ a two-stage LLM-based approach to instantiate various real-world scenarios for each logic tree, generating consistent real-world reasoning processes that carry contextual significance.   This helps LLMs develop generalizable logical reasoning abilities across diverse scenarios rather than merely memorizing templates.\nExperiments on multiple benchmarks demonstrate that our approach achieves an average improvement of 9.4\\% in accuracy on complex logical reasoning tasks.""}",https://openreview.net{'value': '/pdf/30059572044fffae201f1e0daf92fc78a5aef218.pdf'},{'title_filter': 'Synthetic'},NeurIPS.cc,2025,Conference
https://openreview.net/forum?id=yyWeSAsOhs,{'value': 'Reinforcing Spatial Reasoning in Vision-Language Models with Interwoven Thinking and Visual Drawing'},Junfei Wu; Jian Guan; Kaituo Feng; Qiang Liu; Shu Wu; Liang Wang; Wei Wu; Tieniu Tan,~Junfei_Wu1; ~Jian_Guan1; ~Kaituo_Feng1; ~Qiang_Liu8; ~Shu_Wu1; ~Liang_Wang3; ~Wei_Wu1; ~Tieniu_Tan1,"{'value': ['Large Vision-Language Models', 'Spatial Reasoning']}","{'value': ""As textual reasoning with large language models (LLMs) has advanced significant, there has been growing interest in enhancing the multimodal reasoning capabilities of large vision-language models (LVLMs). However, existing methods primarily approach multimodal reasoning in a straightforward, text-centric manner, where both reasoning and answer derivation are conducted purely through text, with the only difference being the presence of multimodal input. As a result, these methods often encounter fundamental limitations in spatial reasoning tasks that demand precise geometric understanding and continuous spatial tracking\\textemdash capabilities that humans achieve through mental visualization and manipulation. To address the limitations, we propose drawing to reason in space, a novel paradigm that enables LVLMs to reason through elementary drawing operations in the visual space. By equipping models with basic drawing operations including annotating bounding boxes and drawing auxiliary lines, we empower them to express and analyze spatial relationships through direct visual manipulation, meanwhile avoiding the performance ceiling imposed by specialized perception tools in previous tool-integrated reasoning approaches. To cultivate this capability, we develop a three-stage training framework: cold-start training with synthetic data to establish basic drawing abilities, reflective rejection sampling to enhance self-reflection behaviors, and reinforcement learning to directly optimize for target rewards. Extensive experiments demonstrate that our model, named \\textsc{Spark}, consistently outperforms existing methods across diverse spatial reasoning benchmarks involving maze navigation, static spatial reasoning, video-based reasoning and multi-view-based reasoning tasks, with an average improvement of 11.5\\%. Ablation studies reveal the critical role of each training stage, with reflective rejection sampling particularly enhancing the model's self-correction capabilities and reasoning potential.""}",https://openreview.net{'value': '/pdf/0da039d9be67a74526e2ce4408db4cde8bdca6f5.pdf'},{'abstract_filter': 'Synthetic'},NeurIPS.cc,2025,Conference
